f_weight f_lept1_pt f_lept1_eta f_lept1_phi f_lept2_pt f_lept2_eta f_lept2_phi f_lept3_pt f_lept3_eta f_lept3_phi f_lept4_pt f_lept4_eta f_lept4_phi f_jet1_pt f_jet1_eta f_jet1_phi f_jet2_pt f_jet2_eta f_jet2_phi 
1.0 12.0450496674 -1.33604705334 -2.43391704559 32.4066009521 1.7731410265 -1.34087347984 52.2382965088 -0.713440299034 -1.33169126511 34.37758255 0.0839946866035 2.32445144653 31.4374542236 3.19077897072 1.3172134161 -999.0 -999.0 -999.0 
1.0 60.034034729 0.501357614994 -2.17777824402 48.2810287476 -0.484709888697 -0.681606590748 58.1398277283 0.535423398018 2.04018950462 40.0548667908 0.572047054768 -0.602079808712 51.8243865967 1.8270277977 1.76845490932 -999.0 -999.0 -999.0 
1.0 5.18210411072 -1.89662480354 1.68665635586 27.332244873 1.19982242584 1.80946755409 19.8582630157 1.48685789108 1.77853691578 17.3671569824 1.20222067833 2.49944353104 68.6583099365 -0.47909283638 -1.38149571419 -999.0 -999.0 -999.0 
1.0 38.2173576355 1.00151383877 -1.51155304909 26.7455234528 0.0444663986564 -0.244150802493 14.0348205566 1.35766971111 1.42029356956 8.05123138428 0.283110797405 -2.23422765732 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
1.0 33.0003051758 0.561706960201 -1.97796869278 53.3089675903 -0.738562226295 0.690141201019 28.089263916 -0.48327422142 -2.8607301712 7.94069194794 -0.3924074471 1.61539757252 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
1.0 49.15209198 -0.282003164291 1.25487947464 24.7644519806 1.28656113148 -1.99408197403 8.60356140137 -0.935998558998 3.11903357506 7.91943502426 2.04352331161 -1.40884804726 40.7146224976 -0.593595802784 -1.76668047905 -999.0 -999.0 -999.0 
1.0 47.9267463684 -1.01017975807 2.44955468178 51.1107139587 -0.778518795967 -1.54763793945 187.804733276 -0.732641935349 1.89750218391 13.7781705856 -0.512772619724 1.06221628189 269.541534424 -0.110825963318 -0.995994150639 104.245025635 0.178901955485 1.33535194397 
1.0 25.9646911621 -0.833676040173 -0.0756286755204 29.2536087036 0.959727406502 2.86541724205 10.9210805893 0.484260737896 -1.28268766403 25.3089351654 0.734481453896 1.1682921648 34.3403663635 0.337308436632 -2.7607896328 -999.0 -999.0 -999.0 
1.0 12.3890104294 1.9733530283 1.22086036205 114.849601746 1.94138026237 -2.4259455204 5.15199184418 0.616424620152 0.326593160629 89.7429275513 1.08250188828 0.657769799232 33.1433830261 -2.6635453701 1.65727746487 -999.0 -999.0 -999.0 
1.0 93.5106201172 0.730382740498 -1.91010844707 21.1277084351 0.272772073746 1.09901309013 56.2582397461 -0.910029292107 -0.0489760972559 50.8114624023 -0.912858664989 2.23890113831 33.7140312195 -0.146698579192 1.8205896616 -999.0 -999.0 -999.0 
